# 关系边：实体A → 实体B = 关系名
# 名字必须和 lore/*.txt 里实体名完全一致（括号会被自动忽略）
# 空行和 # 开头的行忽略

维尔汀 → 圣洛夫基金会 = 成员
维尔汀 → 手提箱 = 携带
阿莱夫 → 虚构集 = 读者
诺谛卡 → 维尔汀 = 下属
卡卡尼亚 → 伊索尔德 = 心理医生
灰调蓝 → 贝丽尔 = 员工
贝丽尔 → 圣洛夫基金会 = 合作
贝丽尔 → 重塑之手 = 合作
乌尔里希 → 露西 = 下属
露西 → 圣洛夫基金会 = 隶属
库珀花环 → 北方哨歌 =学生
北方哨歌 → 拉普拉斯科算中心 = 成员
牙仙 → 圣洛夫基金会 = 隶属
纸信圈儿 → 牙仙 = 好友
纸信圈儿 → 笃笃骨 = 好友
洛佩拉 → 伊戈尔 = 养女
莫莉德尔 → 伊戈尔 = 养女
伊戈尔 → 重塑之手 = 合作
伊戈尔 → 芝诺军备学院 = 叛变
芝诺军备学院 → 圣洛夫基金会 = 隶属
圣洛夫基金会 → 重塑之手 = 敌对
圣洛夫基金会 → 鸽子屋 = 隶属
拉普拉斯科算中心 → 圣洛夫基金会 = 隶属
露西 → 拉普拉斯科算中心 = 长官
乌尔里希 → 拉普拉斯科算中心 = 成员 
天使娜娜 → 维尔汀 = 下属
冷周六 → 拉普拉斯科算中心 = 成员 
兔毛手袋 → 拉普拉斯科算中心 =成员 
无名者 → 重塑之手 = 卧底
无名者 → 维尔汀 = 下属 
兀尔德 → 维尔汀 = 母亲
阿尔卡纳 → 重塑之手 = 首领
重塑之手 → 暴雨 = 引发者
十四行诗 → 维尔汀 = 下属 
十四行诗 → 马蒂尔达 = 朋友 
马蒂尔达 → 贝丽尔 = 女儿
马蒂尔达 → 维尔汀 = 朋友 
第一防线学院 → 圣洛夫基金会 = 隶属
维尔汀 → 第一防线学院 = 学生
十四行诗 → 第一防线学院 = 学生
马蒂尔达 → 第一防线学院 = 学生
苏芙比 → 维尔汀 = 下属
苏芙比 → 维尔汀 = 朋友
十四行诗 → 维尔汀 = 朋友 
槲寄生 → 维尔汀 = 下属 
槲寄生 → 维尔汀 = 朋友
维尔汀 → 司辰小队 = 队长
司辰小队 → 圣洛夫基金会 = 隶属
星锑 → 维尔汀 = 朋友 
星锑 → 拉普拉斯科算中心 = 成员 
冷周六 → 拉普拉斯科算中心 =成员 
z → 维尔汀 = 上司
霍夫曼 → 圣洛夫基金会 = 成员 
马库斯 → 霍夫曼 = 学生
霍夫曼 → 哑谜 = 姐姐
哑谜 → 拉普拉斯科算中心 = 成员 
小春雀 → 洛伦兹蝴蝶 = 学生
洛伦兹蝴蝶 → 拉普拉斯科算中心 = 成员 
洛伦兹蝴蝶 → 洛伦兹研究所 = 所长
康斯坦丁 → 圣洛夫基金会 = 副会长
莫桑女士 → 苏芙比 = 老师
维尔汀 → 小梅斯梅尔 = 朋友 
红弩箭 → 维尔汀 = 下属 
红弩箭 → 维尔汀 = 朋友
红弩箭 → 芝诺军备学院 = 成员 
维尔汀 → 37 = 朋友 
维尔汀 → 6 =朋友 
6 → 阿派朗学派 = 成员 
37 → 阿派朗学派 = 成员
苏菲亚 → 阿派朗学派 = 前成员
阿派朗岛 → 阿派朗学派 = 地理位置
苏菲亚 → 重塑之手 =成员 




